id,code,name,user_type_id:id,reconcile,chart_template_id:id
a_5_530700,530700,Biaya Operasional Pabrik,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530800,530800,Biaya Sewa Tempat,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530900,530900,Biaya Sewa Truk dan Forkift,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_531000,531000,Biaya Peralatan Pabrik,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_531100,531100,Biaya Alokasi Pabrikasi,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_6_600000,600000,BEBAN USAHA,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610000,610000,BEBAN PEGAWAI,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610100,610100,Biaya Gaji Pegawai,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610200,610200,Biaya Insentif Karyawan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610300,610300,Biaya Pengobatan Pegawai,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610400,610400,Biaya Bonus Pegawai dan THR,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610500,610500,Biaya Pesangon dan Pensiun Pegawai,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610600,610600,BPJS Ketenagakerjaan dan Kesehatan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610700,610700,Biaya Asuransi Kesehatan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610800,610800,Tunjangan Transportasi dan Makan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_610900,610900,Biaya Imbalan Kerja,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_620000,620000,BEBAN PEMASARAN,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_620100,620100,"Biaya Iklan, promosi, brosur dll",account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_620200,620200,Biaya Marketing,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_620300,620300,Biaya Perjalanan Dinas Penjualan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_620400,620400,Biaya Pameran,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_620500,620500,Biaya After Sales Service,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630000,630000,BEBAN KANTOR,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630100,630100,Biaya Photocopy,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630200,630200,Biaya Alat Tulis Kantor,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630300,630300,Biaya Operasional Kantor,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630400,630400,Biaya Kantor Lainnya,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630500,630500,Biaya Pengiriman,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630600,630600,Biaya Entertainment,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630700,630700,Biaya Sumbangan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630800,630800,Biaya Sewa Kantor,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_630900,630900,Biaya Perjalanan Dinas (Umum),account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631000,631000,"Biaya Transport, Bensin, Parkir dan Toll",account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631100,631100,Biaya Listrik dan Air Kantor,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631200,631200,Biaya Asuransi Gedung dan Property,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631300,631300,Biaya Asuransi Kendaraan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631400,631400,Biaya Rekrutmen,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631500,631500,Biaya Iuran Keanggotaan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_631600,631600,Biaya Training dan Seminar,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_640000,640000,BEBAN PERALATAN DAN PERLENGKAPAN,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_640100,640100,Biaya Lisensi Software,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_640200,640200,Biaya Peralatan dan Perlengkapan kantor,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_640300,640300,Biaya Pemeliharaan dan Perbaikan Aset Kantor,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_640400,640400,Biaya Pemeliharaan dan Perbaikan Lainnya,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_650000,650000,BEBAN JASA KONSULTANT,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_650100,650100,Biaya Tenaga Ahli,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_650200,650200,Biaya Notaris,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_660000,660000,BEBAN KOMUNIKASI,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_660100,660100,Biaya Telepon dan Faksimile,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_660200,660200,"Biaya Website, Hosting dan Domain",account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_660300,660300,Biaya Internet,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_670000,670000,BEBAN PERIJINAN DAN PAJAK,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_670100,670100,Biaya Perijinan dan Pengurusan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_670200,670200,Biaya Pajak,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_670300,670300,Biaya Pajak Bumi dan Bangunan,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_680000,680000,BEBAN UMUM LAINNYA,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_680100,680100,Biaya Operasional Lainnya,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_680200,680200,Biaya Usaha Lainnya,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_680300,680300,Biaya Cadangan Piutang,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
a_6_690000,690000,BEBAN PENYUSUTAN,account.data_account_type_expenses,FALSE,l10n_id_nb_chart
